"","NOC691","V1","V2","V3","V4"
"119","2145 Petroleum engineers",8630,1,0,1
"120","2146 Aerospace engineers",6310,1,0,1
"121","2147 Computer engineers (except software engineers and designers)",23465,1,1,0
"122","2148 Other professional engineers, n.e.c.",4980,1,0,1
"123","2151 Architects",16285,0,0,0
"124","2152 Landscape architects",2050,0,0,0
"125","2153 Urban and land use planners",12655,0,0,0
"126","2154 Land surveyors",7975,0,0,0
"127","2161 Mathematicians, statisticians and actuaries",12800,1,1,0
"128","2171 Information systems analysts and consultants",159895,1,1,0
"129","2172 Database analysts and data administrators",21675,1,1,0
"130","2173 Software engineers and designers",47545,1,1,0
"131","2174 Computer programmers and interactive media developers",104085,1,1,0
"132","2175 Web designers and developers",25735,1,1,0
"133","2211 Chemical technologists and technicians",24720,0,0,0
"134","2212 Geological and mineral technologists and technicians",9215,0,0,0
"135","2221 Biological technologists and technicians",10655,0,0,0
"136","2222 Agricultural and fish products inspectors",4625,0,0,0
"137","2223 Forestry technologists and technicians",7515,0,0,0
"138","2224 Conservation and fishery officers",5315,0,0,0
"139","2225 Landscape and horticulture technicians and specialists",19500,0,0,0
"140","2231 Civil engineering technologists and technicians",24440,0,0,0
"141","2232 Mechanical engineering technologists and technicians",21820,0,0,0
"142","2233 Industrial engineering and manufacturing technologists and technicians",17875,0,0,0
"143","2234 Construction estimators",21890,0,0,0
"144","2241 Electrical and electronics engineering technologists and technicians",44490,1,0,1
"145","2242 Electronic service technicians (household and business equipment)",50655,0,0,0
"146","2243 Industrial instrument technicians and mechanics",9795,0,0,0
"147","2244 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",6360,0,0,0
"148","2251 Architectural technologists and technicians",10535,0,0,0
"149","2252 Industrial designers",8805,1,0,1
"150","2253 Drafting technologists and technicians",28260,0,0,0
"151","2254 Land survey technologists and technicians",5115,0,0,0
"152","2255 Technical occupations in geomatics and meteorology",8920,1,0,1
"153","2261 Non-destructive testers and inspection technicians",7220,0,0,0
"154","2262 Engineering inspectors and regulatory officers",5765,0,0,0
"155","2263 Inspectors in public and environmental health and occupational health and safety",34565,0,0,0
"156","2264 Construction inspectors",15925,0,0,0
"157","2271 Air pilots, flight engineers and flying instructors",17375,0,0,0
"158","2272 Air traffic controllers and related occupations",4735,0,0,0
"159","2273 Deck officers, water transport",5675,0,0,0
"160","2274 Engineer officers, water transport",2440,0,0,0
"161","2275 Railway traffic controllers and marine traffic regulators",1560,0,0,0
"162","2281 Computer network technicians",67620,1,1,0
"163","2282 User support technicians",43820,1,1,0
"164","2283 Information systems testing technicians",9920,1,1,0
"165","3011 Nursing co-ordinators and supervisors",16835,0,0,0
"166","3012 Registered nurses and registered psychiatric nurses",301065,0,0,0
"167","3111 Specialist physicians",42035,0,0,0
"168","3112 General practitioners and family physicians",51945,0,0,0
"169","3113 Dentists",18945,0,0,0
"170","3114 Veterinarians",9705,0,0,0
"171","3121 Optometrists",5235,0,0,0
"172","3122 Chiropractors",7385,0,0,0
"173","3124 Allied primary health practitioners",7245,0,0,0
"174","3125 Other professional occupations in health diagnosing and treating",5560,0,0,0
"175","3131 Pharmacists",37415,0,0,0
"176","3132 Dietitians and nutritionists",11880,0,0,0
"177","3141 Audiologists and speech-language pathologists",10880,0,0,0
"178","3142 Physiotherapists",24195,0,0,0
"179","3143 Occupational therapists",15535,0,0,0
"180","3144 Other professional occupations in therapy and assessment",11185,0,0,0
